# PC-SAFT-Titan -- Daniel Cordier
# https://www.researchgate.net/profile/Daniel_Cordier
# http://orcid.org/0000-0003-4515-6271
#
# Computation date: 07/07/2021 -- 20h 48min 42s
# Temperature:   115.00 K
# Species 1: N2    
# Species 2: CH4   
#
# xN2 (liq)      P (bar)      
  1.4898573E-01  5.0748721E+00
  1.4931881E-01  5.0821242E+00
  1.4965188E-01  5.0893720E+00
  1.4998496E-01  5.0966154E+00
  1.5031804E-01  5.1038545E+00
  1.5065112E-01  5.1110893E+00
  1.5098419E-01  5.1183198E+00
  1.5131727E-01  5.1255459E+00
  1.5165035E-01  5.1327678E+00
  1.5198343E-01  5.1399853E+00
  1.5231651E-01  5.1471986E+00
  1.5264958E-01  5.1544076E+00
  1.5298266E-01  5.1616123E+00
  1.5331574E-01  5.1688127E+00
  1.5364882E-01  5.1760088E+00
  1.5398189E-01  5.1832007E+00
  1.5431497E-01  5.1903883E+00
  1.5464805E-01  5.1975717E+00
  1.5498113E-01  5.2047507E+00
  1.5531420E-01  5.2119256E+00
  1.5564728E-01  5.2190962E+00
  1.5598036E-01  5.2262625E+00
  1.5631344E-01  5.2334246E+00
  1.5664652E-01  5.2405825E+00
  1.5697959E-01  5.2477361E+00
  1.5731267E-01  5.2548855E+00
  1.5764575E-01  5.2620307E+00
  1.5797883E-01  5.2691717E+00
  1.5831190E-01  5.2763085E+00
  1.5864498E-01  5.2834411E+00
  1.5897806E-01  5.2905694E+00
  1.5931114E-01  5.2976936E+00
  1.5964421E-01  5.3048136E+00
  1.5997729E-01  5.3119294E+00
  1.6031037E-01  5.3190410E+00
  1.6064345E-01  5.3261484E+00
  1.6097653E-01  5.3332516E+00
  1.6130960E-01  5.3403507E+00
  1.6164268E-01  5.3474456E+00
  1.6197576E-01  5.3545364E+00
  1.6230884E-01  5.3616230E+00
  1.6264191E-01  5.3687055E+00
  1.6297499E-01  5.3757838E+00
  1.6330807E-01  5.3828579E+00
  1.6364115E-01  5.3899279E+00
  1.6397422E-01  5.3969938E+00
  1.6430730E-01  5.4040556E+00
  1.6464038E-01  5.4111132E+00
  1.6497346E-01  5.4181668E+00
  1.6530654E-01  5.4252162E+00
  1.6563961E-01  5.4322615E+00
  1.6597269E-01  5.4393026E+00
  1.6630577E-01  5.4463397E+00
  1.6663885E-01  5.4533727E+00
  1.6697192E-01  5.4604016E+00
  1.6730500E-01  5.4674264E+00
  1.6763808E-01  5.4744472E+00
  1.6797116E-01  5.4814638E+00
  1.6830423E-01  5.4884764E+00
  1.6863731E-01  5.4954849E+00
  1.6897039E-01  5.5024893E+00
  1.6930347E-01  5.5094897E+00
  1.6963655E-01  5.5164860E+00
  1.6996962E-01  5.5234783E+00
  1.7030270E-01  5.5304665E+00
  1.7063578E-01  5.5374507E+00
  1.7096886E-01  5.5444308E+00
  1.7130193E-01  5.5514069E+00
  1.7163501E-01  5.5583790E+00
  1.7196809E-01  5.5653471E+00
  1.7230117E-01  5.5723111E+00
  1.7263424E-01  5.5792711E+00
  1.7296732E-01  5.5862271E+00
  1.7330040E-01  5.5931791E+00
  1.7363348E-01  5.6001271E+00
  1.7396656E-01  5.6070711E+00
  1.7429963E-01  5.6140111E+00
  1.7463271E-01  5.6209471E+00
  1.7496579E-01  5.6278792E+00
  1.7529887E-01  5.6348072E+00
  1.7563194E-01  5.6417313E+00
  1.7596502E-01  5.6486514E+00
  1.7629810E-01  5.6555675E+00
  1.7663118E-01  5.6624797E+00
  1.7696425E-01  5.6693879E+00
  1.7729733E-01  5.6762921E+00
  1.7763041E-01  5.6831924E+00
  1.7796349E-01  5.6900888E+00
  1.7829657E-01  5.6969812E+00
  1.7862964E-01  5.7038697E+00
  1.7896272E-01  5.7107543E+00
  1.7929580E-01  5.7176349E+00
  1.7962888E-01  5.7245116E+00
  1.7996195E-01  5.7313844E+00
  1.8029503E-01  5.7382532E+00
  1.8062811E-01  5.7451182E+00
  1.8096119E-01  5.7519792E+00
  1.8129426E-01  5.7588364E+00
  1.8162734E-01  5.7656896E+00
  1.8196042E-01  5.7725390E+00
  1.8229350E-01  5.7793844E+00
  1.8262658E-01  5.7862260E+00
  1.8295965E-01  5.7930637E+00
  1.8329273E-01  5.7998976E+00
  1.8362581E-01  5.8067275E+00
  1.8395889E-01  5.8135536E+00
  1.8429196E-01  5.8203758E+00
  1.8462504E-01  5.8271942E+00
  1.8495812E-01  5.8340087E+00
  1.8529120E-01  5.8408194E+00
  1.8562427E-01  5.8476262E+00
  1.8595735E-01  5.8544292E+00
  1.8629043E-01  5.8612283E+00
  1.8662351E-01  5.8680236E+00
  1.8695659E-01  5.8748151E+00
  1.8728966E-01  5.8816028E+00
  1.8762274E-01  5.8883866E+00
  1.8795582E-01  5.8951666E+00
  1.8828890E-01  5.9019429E+00
  1.8862197E-01  5.9087153E+00
  1.8895505E-01  5.9154839E+00
  1.8928813E-01  5.9222487E+00
  1.8962121E-01  5.9290097E+00
  1.8995428E-01  5.9357669E+00
  1.9028736E-01  5.9425204E+00
